date,country_name,iso3,region_id,region.name,fcs,rcsi,national_fcs,national_rcsi,cfii,alert,national_cfii,national_alert
2025-01-27,Guatemala,GTM,64821,Guatemala,0.07692291184728021,0.28846116366364316,0.3234959328989985,0.33376004239960094,0.47115320141910483,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64822,El Progreso,0.3432383200871096,0.32228011438224424,0.3234959328989985,0.33376004239960094,0.6550393316169212,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64823,Sacatepéquez,0.21736217293452678,0.2709553833731338,0.3234959328989985,0.33376004239960094,0.5151141615269641,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64824,Chimaltenango,0.21736278183660873,0.27095675504163036,0.3234959328989985,0.33376004239960094,0.51511652348075,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64825,Escuintla,0.2173627978558566,0.27095591314544154,0.3234959328989985,0.33376004239960094,0.5151152686460906,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64826,Santa Rosa,0.35641815676897726,0.3646337255734612,0.3234959328989985,0.33376004239960094,0.7251596667446804,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64827,Sololá,0.34311823565448235,0.373446705844092,0.3234959328989985,0.33376004239960094,0.7317291765933792,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64828,Totonicapán,0.3431186323605595,0.3734456505571124,0.3234959328989985,0.33376004239960094,0.7317277920159483,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64829,Quetzaltenango,0.343119427403307,0.3734460780535361,0.3234959328989985,0.33376004239960094,0.7317288307819576,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64830,Suchitepéquez,0.34311869869944905,0.37344614769561363,0.3234959328989985,0.33376004239960094,0.7317285708931449,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64831,Retalhuleu,0.34311739048670553,0.3734462488549711,0.3234959328989985,0.33376004239960094,0.7317280685258094,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64832,San Marcos,0.343119335220895,0.37344653118665083,0.3234959328989985,0.33376004239960094,0.7317294643904237,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64833,Huehuetenango,0.37524927215206805,0.28799771307848526,0.3234959328989985,0.33376004239960094,0.619621205693762,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64834,Quiché,0.375249900039984,0.28799749941293323,0.3234959328989985,0.33376004239960094,0.6196211991393918,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64835,Baja Verapaz,0.3966210190335375,0.3597068694407285,0.3234959328989985,0.33376004239960094,0.7378708136778616,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64836,Alta Verapaz,0.3966229368899868,0.35970851910308943,0.3234959328989985,0.33376004239960094,0.7378742470996276,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64837,Petén,0.34323874932224835,0.3222808602927887,0.3234959328989985,0.33376004239960094,0.6550406651003072,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64838,Izabal,0.34323837218107744,0.32227941383286923,0.3234959328989985,0.33376004239960094,0.6550383068398425,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64839,Zacapa,0.34323540764953714,0.3222800778587209,0.3234959328989985,0.33376004239960094,0.65503782061285,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64840,Chiquimula,0.34323899812077524,0.3222800325358315,0.3234959328989985,0.33376004239960094,0.6550395478641349,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64841,Jalapa,0.3564176115537187,0.3646348721433078,0.3234959328989985,0.33376004239960094,0.725161113991821,False,0.6623880300489007,False
2025-01-27,Guatemala,GTM,64842,Jutiapa,0.35641939567927616,0.36463465772093506,0.3234959328989985,0.33376004239960094,0.7251616844210407,False,0.6623880300489007,False
2025-01-28,Guatemala,GTM,64821,Guatemala,0.07692291184728021,0.28846116366364316,0.32666015008838123,0.33327134973136846,0.47115320141910483,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64822,El Progreso,0.35889973236183054,0.3389591622823532,0.32666015008838123,0.33327134973136846,0.6878886096044451,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64823,Sacatepéquez,0.21403496715744383,0.2766620280493182,0.32666015008838123,0.33327134973136846,0.5220105256526992,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64824,Chimaltenango,0.21403449582357675,0.2766627707244712,0.32666015008838123,0.33327134973136846,0.5220114039984952,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64825,Escuintla,0.21403482139118055,0.27666176347418237,0.32666015008838123,0.33327134973136846,0.5220100559068638,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64826,Santa Rosa,0.35837734674525945,0.3614946785794425,0.32666015008838123,0.33327134973136846,0.7214306912417936,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64827,Sololá,0.3336037180738018,0.36420824541102265,0.32666015008838123,0.33327134973136846,0.7131142271534349,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64828,Totonicapán,0.33360232932289946,0.3642097416441696,0.32666015008838123,0.33327134973136846,0.7131157771277041,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64829,Quetzaltenango,0.33360292768610966,0.3642096669659345,0.32666015008838123,0.33327134973136846,0.7131159642919566,False,0.6632370996412433,False
2025-01-28,Guatemala,GTM,64830,Suchitepéquez,0.3336035006184176,0.36420892520270354,0.32666015008838123,0.33327134973136846,0.7131151381132641,False,0.6632370996412433,False
